id,name,synonyms,cellosaurus_accession,SANGAR_ID,COSMIC_ID,BROAD_ID,CCLE_ID,tissue,disease_id
417,Farage,Farage; FARAGE; Farage OL; Farage Original Line,CVCL_3302,SIDM00859,1297449,ACH-001498,FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C36080
418,FLO-1,FLO-1; Flo-1; FLO1; FLO,CVCL_2045,SIDM01041,1503361,ACH-001500,FLO1_OESOPHAGUS,oesophagus,C4025
419,FTC-133,FTC-133; FTC133,CVCL_1219,SIDM00213,906864,ACH-000903,FTC133_THYROID,thyroid,C8054
420,FTC-238,FTC-238; FTC238,CVCL_2447,SIDM00228,999825,ACH-000897,FTC238_THYROID,thyroid,C8054
421,FU-OV-1,FU-OV-1; FUOV1,CVCL_2047,SIDM01040,1240129,ACH-000574,FUOV1_OVARY,ovary,C105555
422,Fu97,Fu97; FU97; FU-97,CVCL_2908,SIDM00503,1290806,ACH-000633,FU97_STOMACH,stomach,C4004
423,G-292 clone A141B1,"G-292 clone A141B1; G 292 Clone A 141B1; G-292, clone A141B1; G-292; G292",CVCL_2909,SIDM00858,1290807,ACH-000082,G292CLONEA141B1_BONE,bone,C9145
424,G-361,G-361; G361; G361-mel; G361mel,CVCL_1220,SIDM00857,906865,ACH-000572,G361_SKIN,skin,C3224
425,G-401,G-401; G401; G 401,CVCL_0270,SIDM00856,907299,ACH-000096,G401_SOFT_TISSUE,soft_tissue,C8715
426,G-402,G-402; G402,CVCL_1221,SIDM00855,907298,ACH-000375,G402_SOFT_TISSUE,soft_tissue,C3486
427,G-mel,G-mel; G-MEL,CVCL_W798,SIDM00129,1240130,ACH-002121,GMEL_SKIN,skin,C3510
428,GA-10,GA-10; GA10,CVCL_1222,SIDM00854,1303896,ACH-000162,GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C2912
429,GA-10 clone 4,GA-10 clone 4; GA-10 (Clone 4); GA-10-Clone-4,CVCL_1224,SIDM01252,906867,NA,NA,haematopoietic_and_lymphoid,C2912
430,GAK,GAK,CVCL_1225,SIDM00543,910932,ACH-002120,GAK_SKIN,skin,C40329
431,GaMG,GaMG; GaMg; GAMG; GA-MG,CVCL_1226,SIDM01055,906868,ACH-000098,GAMG_CENTRAL_NERVOUS_SYSTEM,brain,C3058
432,GB-1,GB-1; GB1,CVCL_1227,SIDM00581,687568,ACH-000738,GB1_CENTRAL_NERVOUS_SYSTEM,brain,C3058
433,GCIY,GCIY,CVCL_1228,SIDM00274,906869,ACH-000047,GCIY_STOMACH,stomach,C4004
434,GCT,GCT; Giant Cell Tumor,CVCL_1229,SIDM00853,906999,ACH-000835,GCT_SOFT_TISSUE,soft_tissue,C4247
435,GDM-1,GDM-1; GDM1,CVCL_1230,SIDM01057,906870,ACH-000081,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C9154
436,GEO,GEO; Geo; HCT-GEO; HCT GEO,CVCL_0271,SIDM00068,2164691,ACH-002394,GEO_LARGE_INTESTINE,large_intestine,C4910
437,GI-1,GI-1,CVCL_1231,SIDM00273,906871,ACH-000756,GI1_CENTRAL_NERVOUS_SYSTEM,brain,C3796
438,GI-ME-N,GI-ME-N; Gi-ME-N; GIMEN; Gimen; Gimen1; Gaslini Institute-ME-Neuroblastoma,CVCL_1232,SIDM00227,906872,ACH-001344,GIMEN_AUTONOMIC_GANGLIA,autonomic_ganglia,C3270
439,GLC-82,GLC-82; Glc-82; GLC82; Gejiu Lung Carcinoma-82,CVCL_3371,NA,NA,NA,NA,lung,C27677
440,GMS-10,GMS-10; GMS10,CVCL_1233,SIDM01074,906873,ACH-000102,GMS10_CENTRAL_NERVOUS_SYSTEM,brain,C3058
441,GOS-3,GOS-3; GOS3,CVCL_2050,SIDM01635,NA,ACH-000027,GOS3_CENTRAL_NERVOUS_SYSTEM,brain,C3058
442,GOTO,GOTO,CVCL_1234,SIDM00544,906875,ACH-001716,GOTO_AUTONOMIC_GANGLIA,autonomic_ganglia,C3270
443,GP2d,GP2d; Gp2d; Gp2D; GP2D,CVCL_2450,SIDM00536,907292,ACH-000982,GP2D_LARGE_INTESTINE,large_intestine,C4349
444,GP5d,GP5d; Gp5d; Gp5D; GP5D,CVCL_1235,SIDM00537,907291,ACH-001345,GP5D_LARGE_INTESTINE,large_intestine,C4349
445,GR-M,GR-M; GRM,CVCL_2451,SIDM00468,NA,ACH-001072,GRM_SKIN,skin,C8294
446,GR-ST,GR-ST; GRST,CVCL_1236,SIDM01259,906877,ACH-002238,GRST_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C9140
447,Granta-519,Granta-519; GRANTA-519; Granta 519; Granta519; GRANTA519; G519,CVCL_1818,SIDM01058,1303897,ACH-000073,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C4337
448,GSS,GSS,CVCL_8876,SIDM01511,NA,ACH-000746,GSS_STOMACH,stomach,C4911
449,GSU,GSU,CVCL_8877,SIDM01551,NA,ACH-000485,GSU_STOMACH,stomach,C4911
450,GT3TKB,GT3TKB,CVCL_1237,SIDM01231,907041,ACH-002122,GT3TKB_STOMACH,stomach,C3493
451,GTL-16,GTL-16; GTL 16; GTL16,CVCL_7668,NA,NA,NA,NA,stomach,C4004
452,H-EMC-SS,H-EMC-SS; HEMCSS,CVCL_1238,SIDM00535,907290,ACH-001519,HEMCSS_BONE,bone,C2946
453,H4,H4; H-4,CVCL_1239,SIDM00852,907042,ACH-000389,H4_CENTRAL_NERVOUS_SYSTEM,brain,C60781
454,H9,H9; HT clone H9; HT(H9); H 9; H-9,CVCL_1240,SIDM01251,907043,ACH-002240,H9_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C9265
455,HA7-RCC,HA7-RCC; HA7RCC,CVCL_1241,SIDM00188,753558,ACH-002139,HA7RCC_KIDNEY,kidney,C9385
456,HAL-01,HAL-01; HAL01; HAL-1,CVCL_1242,SIDM00289,949153,ACH-002241,HAL01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C8644
457,HARA [Human squamous cell lung carcinoma],HARA [Human squamous cell lung carcinoma]; KCC-C1,CVCL_2914,SIDM00598,1240142,ACH-000843,HARA_LUNG,lung,C3493
458,HBL-100,HBL-100; HBL 100; HBL100,CVCL_4362,NA,NA,NA,NA,breast,NA
459,HC-1,HC-1; HC1,CVCL_1243,SIDM01073,907044,ACH-002242,HC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C7402
460,HCA7,HCA7; HCA-7; HCA 7,CVCL_0289,NA,NA,NA,NA,large_intestine,C4349
461,HCC-56,HCC-56; HCC56,CVCL_2917,NA,NA,NA,NA,large_intestine,C4349
462,HCC1008,HCC1008,CVCL_1244,NA,NA,NA,NA,breast,C4017
463,HCC1011,HCC1011,CVCL_V675,NA,NA,NA,NA,kidney,C4524
464,HCC1143,HCC1143; HCC-1143,CVCL_1245,SIDM00866,749710,ACH-000374,HCC1143_BREAST,breast,C4017
465,HCC1143 BL,HCC1143 BL; HCC1143-BL; HCC1143BL,CVCL_1246,SIDM00868,NA,ACH-002378,HCC1143_MATCHED_NORMAL_TISSUE,breast,NA
466,HCC1162,HCC1162,CVCL_V651,NA,NA,NA,NA,uterus,C7359
467,HCC1171,HCC1171; HCC-1171,CVCL_5126,SIDM01553,NA,ACH-000578,HCC1171_LUNG,lung,C3512
468,HCC1187,HCC1187; HCC-1187,CVCL_1247,SIDM00885,749711,ACH-000111,HCC1187_BREAST,breast,C4017
469,HCC1195,HCC1195; HCC-1195,CVCL_5127,SIDM01607,NA,ACH-000868,HCC1195_LUNG,lung,C9133
470,HCC12,HCC12; HCC0012,CVCL_V719,NA,NA,NA,NA,kidney,C9385
471,HCC1263,HCC1263,CVCL_V686,NA,NA,NA,NA,large_intestine,C5105
472,HCC1319,HCC1319,CVCL_V671,NA,NA,NA,NA,kidney,C9385
473,HCC1359,HCC1359; HCC-1359,CVCL_5128,SIDM01606,NA,ACH-000901,HCC1359_LUNG,lung,C4452
474,HCC1395,HCC1395; HCC-1395; SCC-1395,CVCL_1249,SIDM00884,749712,ACH-000699,HCC1395_BREAST,breast,C4017
475,HCC1419,HCC1419; HCC-1419,CVCL_1251,SIDM00882,907045,ACH-000277,HCC1419_BREAST,breast,C4017
476,HCC1428,HCC1428; HCC-1428,CVCL_1252,SIDM00881,1290905,ACH-000352,HCC1428_BREAST,breast,C5214
477,HCC1438,HCC1438; HCC-1438,CVCL_L088,SIDM01605,NA,ACH-000891,HCC1438_LUNG,lung,C4450
478,HCC1482,HCC1482,CVCL_V591,NA,NA,NA,NA,uterus,C4029
479,HCC1493,HCC1493,CVCL_V592,NA,NA,NA,NA,breast,C5214
480,HCC15,HCC15; HCC-15; HCC0015,CVCL_2057,SIDM01072,1240143,ACH-000878,HCC15_LUNG,lung,C3493
481,HCC1500,HCC1500; HCC-1500,CVCL_1254,SIDM00879,1303900,ACH-000349,HCC1500_BREAST,breast,C4017
482,HCC1534,HCC1534,CVCL_V595,NA,NA,NA,NA,lung,C3512
483,HCC1569,HCC1569; HCC-1569,CVCL_1255,SIDM00878,907046,ACH-000930,HCC1569_BREAST,breast,C4017
484,HCC1576,HCC1576,CVCL_V597,NA,NA,NA,NA,adrenal_gland,C9325
485,HCC1588,HCC1588; HCC-1588,CVCL_A351,NA,NA,NA,NA,lung,C3493
486,HCC1599,HCC1599; HCC-1599,CVCL_1256,SIDM00877,749713,ACH-000196,HCC1599_BREAST,breast,C4017
487,HCC1806,HCC1806; Hcc1806; HCC-1806,CVCL_1258,SIDM00875,907047,ACH-000624,HCC1806_BREAST,breast,C40359
488,HCC1833,HCC1833; HCC-1833,CVCL_5129,SIDM01604,NA,ACH-000712,HCC1833_LUNG,lung,C3512
489,HCC1897,HCC1897; HCC-1897,CVCL_V578,NA,NA,NA,NA,lung,C3493
490,HCC193,HCC193; HCC0193,CVCL_5130,NA,NA,NA,NA,lung,C3512
491,HCC1937,HCC1937; HCC-1937,CVCL_0290,SIDM00874,749714,ACH-000223,HCC1937_BREAST,breast,C4017
492,HCC1954,HCC1954; HCC-1954,CVCL_1259,SIDM00872,749709,ACH-000859,HCC1954_BREAST,breast,C4017
493,HCC202,HCC202; HCC-202; HCC0202,CVCL_2062,SIDM00870,1290906,ACH-000725,HCC202_BREAST,breast,C4017
494,HCC2108,HCC2108; HCC-2108,CVCL_A352,SIDM01603,NA,ACH-000314,HCC2108_LUNG,lung,C3512
495,HCC2157,HCC2157,CVCL_1261,SIDM00774,749715,ACH-000691,HCC2157_BREAST,breast,C4017
496,HCC2185,HCC2185; HCC-2185; HCC 2185,CVCL_3375,NA,NA,NA,NA,breast,C76328
497,HCC2218,HCC2218; HCC-2218,CVCL_1263,SIDM00772,749716,ACH-000755,HCC2218_BREAST,breast,C4017
498,HCC2270,HCC2270,CVCL_V635,NA,NA,NA,NA,lung,C3512
499,HCC2279,HCC2279; HCC-2279,CVCL_5131,SIDM01602,NA,ACH-000731,HCC2279_LUNG,lung,C9133
500,HCC2302,HCC2302,CVCL_V636,NA,NA,NA,NA,lung,C3512
501,HCC2688,HCC2688,CVCL_3376,NA,NA,NA,NA,breast,C4017
502,HCC2814,HCC2814; HCC-2814,CVCL_V586,SIDM01599,NA,ACH-000690,HCC2814_LUNG,lung,C3493
503,HCC2885,HCC2885,CVCL_V588,NA,NA,NA,NA,lung,C2926
504,HCC2911,HCC2911,CVCL_0V16,NA,NA,NA,NA,breast,C4872
505,HCC2935,HCC2935; HCC-2935,CVCL_1265,SIDM01598,NA,ACH-000150,HCC2935_LUNG,lung,C3512
506,HCC3153,HCC3153; HCC 3153; HCC-3153,CVCL_3377,NA,NA,NA,NA,breast,C4017
507,HCC33,HCC33; HCC-33; HCC0033,CVCL_2058,SIDM01071,1303901,ACH-000515,HCC33_LUNG,lung,C4917
508,HCC364,HCC364; HCC0364; HCC-364,CVCL_5134,SIDM01597,NA,ACH-000575,HCC364_LUNG,lung,C3512
509,HCC366,HCC366; HCC-366; HCC0366,CVCL_2059,SIDM01070,1240144,ACH-000840,HCC366_LUNG,lung,C9133
510,HCC38,HCC38; Hcc38; HCC-38; HCC 38; HCC0038,CVCL_1267,SIDM00675,749717,ACH-000276,HCC38_BREAST,breast,C4017
511,HCC38 BL,HCC38 BL; HCC38-BL; HCC-38BL; HCC 38BL; HCC38BL,CVCL_1268,SIDM00674,NA,ACH-002377,HCC38_MATCHED_NORMAL_TISSUE,breast,NA
512,HCC4006,HCC4006; HCC-4006,CVCL_1269,SIDM01596,NA,ACH-000066,HCC4006_LUNG,lung,C3512
513,HCC4011,HCC4011,CVCL_S700,NA,NA,NA,NA,lung,C3512
514,HCC4017,HCC4017,CVCL_V579,NA,NA,NA,NA,lung,C4450
515,HCC44,HCC44; HCC-44; HCC0044,CVCL_2060,SIDM01069,1240145,ACH-000667,HCC44_LUNG,lung,C3512
516,HCC461,HCC461; HCC0461,CVCL_5135,SIDM01595,NA,ACH-000339,HCC461_LUNG,lung,C3512
517,HCC515,HCC515; HCC0515,CVCL_5136,SIDM01610,NA,ACH-000872,HCC515_LUNG,lung,C3512
518,HCC60,HCC60; HCC0060,CVCL_G002,NA,NA,NA,NA,ovary,C3512
519,HCC630,HCC630; HCC0630,CVCL_V729,NA,NA,NA,NA,ovary,C4908
520,HCC70,HCC70; HCC-70; HCC 70; HCC0070,CVCL_1270,SIDM00673,907048,ACH-000668,HCC70_BREAST,breast,C4017
521,HCC712,HCC712; HCC0712,CVCL_3378,NA,NA,NA,NA,breast,C4017
522,HCC78,HCC78; HCC-78; HCC0078,CVCL_2061,SIDM01068,1290908,ACH-000562,HCC78_LUNG,lung,C3512
523,HCC827,HCC827; HCC-827; HCC0827,CVCL_2063,SIDM01067,1240146,ACH-000012,HCC827_LUNG,lung,C3512
524,HCC827 GR5,HCC827 GR5; HCC827-GR5; HCC-827-GR5; HCC827GR5,CVCL_V622,SIDM01636,NA,ACH-000029,HCC827GR5_LUNG,lung,C3512
525,HCC89,HCC89; HCC0089,CVCL_V731,NA,NA,NA,NA,kidney,C9385
526,HCC95,HCC95; HCC-95; HCC0095,CVCL_5137,SIDM01593,NA,ACH-000454,HCC95_LUNG,lung,C3493
527,HCE-4,HCE-4; HCE4,CVCL_1271,SIDM00052,753559,ACH-002243,HCE4_OESOPHAGUS,oesophagus,C4024
528,HCE-7,HCE-7; HCE7; HCE-7 (NM); HCE-7(NM),CVCL_5138,SIDM00067,998179,NA,NA,oesophagus,C4024
529,HCE-T,HCE-T; HCET; Human Corneal Epithelial cells-Transformed; HCE; SV40-HCEC,CVCL_1272,SIDM00075,907049,ACH-002336,HCET_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_tract,NA
530,HCT 8,HCT 8; HCT-8; HCT8,CVCL_2478,SIDM00786,998180,ACH-001084,HCT8_LARGE_INTESTINE,large_intestine,C4349
531,HD-MY-Z,HD-MY-Z; HD-MyZ; HDMYZ,CVCL_1273,SIDM01063,907050,ACH-000190,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C9154
532,HDQ-P1,HDQ-P1; HDQP1,CVCL_2067,SIDM01062,1290922,ACH-000643,HDQP1_BREAST,breast,C4872
533,HEC-1,HEC-1; HEC1; Human Endometrial Cancer-1; HEC-B-296,CVCL_1274,SIDM00596,907051,ACH-001517,HEC1_ENDOMETRIUM,endometrium,C7359
534,HEC-1-A,HEC-1-A; Hec-1-A; HEC-1A; HEC1-A; HEC1A; Hec1A,CVCL_0293,SIDM00595,NA,ACH-000954,HEC1A_ENDOMETRIUM,endometrium,C7359
535,HEC-1-B,HEC-1-B; Hec-1-B; HEC-1B; Hec-1b; HEC1-B; HEC1B; Hec1B,CVCL_0294,SIDM01241,NA,ACH-000941,HEC1B_ENDOMETRIUM,endometrium,C7359
536,HEC-108,HEC-108; HEC108,CVCL_2923,SIDM01608,NA,ACH-000990,HEC108_ENDOMETRIUM,endometrium,C7359
537,HEC-151,HEC-151; HEC151,CVCL_2925,SIDM01609,NA,ACH-000972,HEC151_ENDOMETRIUM,endometrium,C7359
538,HEC-251,HEC-251; HEC251,CVCL_2927,SIDM01611,NA,ACH-000996,HEC251_ENDOMETRIUM,endometrium,C7558
539,HEC-265,HEC-265; HEC265,CVCL_2928,SIDM01612,NA,ACH-000946,HEC265_ENDOMETRIUM,endometrium,C7359
540,HEC-50B,HEC-50B; HEC50B; HEC-50 clone B; HEC-50; HEC50; Hec50,CVCL_2929,SIDM01614,NA,ACH-000831,HEC50B_ENDOMETRIUM,endometrium,C7359
541,HEC-59,HEC-59; HEC59; Hec59,CVCL_2930,SIDM01617,NA,ACH-000994,HEC59_ENDOMETRIUM,endometrium,C7359
542,HEC-6,HEC-6; HEC6,CVCL_2931,SIDM01619,NA,ACH-000984,HEC6_ENDOMETRIUM,endometrium,C6290
543,HEK TE,HEK TE; HEK-TE,CVCL_WS59,NA,NA,NA,NA,kidney,NA
544,HEL,HEL; Hel; GM06141; GM06141B; Human ErythroLeukemia,CVCL_0001,SIDM00594,907053,ACH-000004,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C7152
545,HEL 92.1.7,HEL 92.1.7; HEL92.1.7; HEL-92.1.7; HEL-92-1-7; HEL-92_1_7; HEL-92; HEL9217,CVCL_2481,SIDM00593,907054,ACH-000005,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C7152
546,HeLa,HeLa; HELA; Hela; He La; He-La; Henrietta Lacks cells; Helacyton gartleri,CVCL_0030,SIDM00846,1298134,ACH-001086,HELA_CERVIX,cervix,C27677
547,HeLaSF,HeLaSF; HELASF; HeLa Serum Free,CVCL_1278,SIDM01209,687509,NA,NA,cervix,C27677
548,Hep 3B2.1-7,Hep 3B2.1-7; Hep 3B2_1-7; Hep 3B2; HEP-3B2; HEP3B2; Hep-3B; HEP-3B; Hep 3B; Hep3B; HEP3B,CVCL_0326,SIDM00672,1240147,ACH-000625,HEP3B217_LIVER,liver,C3099
549,HEp-2,HEp-2; Hep-2; HEP-2; Hep 2; Hep2; HEp2; HEP2; H.Ep.-2; H.Ep. #2; H.Ep. No. 2; Hep II; Human Epidermoid carcinoma #2; Human Epithelioma-2,CVCL_1906,SIDM01208,NA,NA,NA,upper_aerodigestive_tract,C27677
550,Hep-G2,Hep-G2; HEP-G2; Hep G2; HEP G2; HepG2; HEPG2,CVCL_0027,SIDM00904,1298135,ACH-000739,HEPG2_LIVER,liver,C3728
551,Hep-G2/C3A,Hep-G2/C3A; HepG2/C3A; Hep G2/C3A; C3A,CVCL_1098,SIDM01237,910850,ACH-001021,C3A_LIVER,liver,C3728
552,HEY,HEY; Hey,CVCL_0297,SIDM00968,1479988,ACH-002140,HEY_OVARY,ovary,C105555
553,HEY A8,HEY A8; HEY-A8; Hey-A8; Hey A8; HEYA8; HeyA8,CVCL_8878,SIDM01215,1479989,ACH-000542,HEYA8_OVARY,ovary,C105555
554,HGC-27,HGC-27; HGC27,CVCL_1279,SIDM00290,907055,ACH-000847,HGC27_STOMACH,stomach,C4911
555,HH [Human lymphoma],HH [Human lymphoma],CVCL_1280,SIDM00671,907056,ACH-000061,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C3467
556,HK-2 [Human kidney],HK-2 [Human kidney]; Hk-2; HK2; Human Kidney-2,CVCL_0302,NA,NA,NA,NA,kidney,NA
557,HL-60,HL-60; HL 60; HL60,CVCL_0002,SIDM00829,905938,ACH-000002,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C9154
558,HLC-1,HLC-1; HLC1,CVCL_5529,NA,NA,NA,NA,lung,C3512
559,HLE,HLE,CVCL_1281,SIDM00064,907057,ACH-001089,HLE_LIVER,liver,C3099
560,HLF,HLF,CVCL_2947,SIDM00065,998181,ACH-000393,HLF_LIVER,liver,C3099
561,HLF-a,HLF-a; HLFA,CVCL_2255,NA,NA,NA,NA,lung,C3493
562,HMC-1-8,HMC-1-8; HMC18,CVCL_2949,SIDM01622,NA,ACH-000721,HMC18_BREAST,breast,C4872
563,HMCB,HMCB; Human Melanoma Cell Bowes; Bowes melanoma cells; BOWES,CVCL_3317,SIDM00914,NA,ACH-000931,HMCB_SKIN,skin,C3224
564,HMEL,HMEL,CVCL_IZ34,NA,NA,NA,NA,breast,NA
565,HMT-3522 S1,HMT-3522 S1; HMT-3522-S1; HMT-3522S1; HMT3522S1; S1; S-1; HMT-3522/wt,CVCL_2499,NA,NA,NA,NA,breast,C4872
566,HMT-3522 T4-2,HMT-3522 T4-2; T4-2; T4; HMT-3522/mt-1; mt-1; HMT-3522/massive tumor-1,CVCL_2501,NA,NA,NA,NA,breast,C4872
567,HMV-II,HMV-II; HMV-2; HMVII; Human Melanoma Vagina-II,CVCL_1282,SIDM00291,907058,ACH-002040,HMVII_SKIN,skin,C27394
568,HMY-1,HMY-1; HMY1,CVCL_2950,SIDM01623,NA,ACH-001522,HMY1_SKIN,skin,C3224
569,HN,HN,CVCL_1283,SIDM01061,907059,ACH-001090,HN_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_tract,C4833
570,HNT-34,HNT-34; HNT34,CVCL_2071,SIDM01621,NA,ACH-000299,HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C9154
571,HO-1-N-1,HO-1-N-1; Ho-1-N-1; Ho-1-n-1; HO1-N-1; HO1-N1; HO1N1; Nakata-1,CVCL_1284,SIDM00592,924111,ACH-002244,HO1N1_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_tract,C4040
572,HO-1-u-1,HO-1-u-1; HO-1-U-1; Ho-1-u-1; HO1-U-1; HO1-U1; HO1U1; HO1u1; Ho1u1; Ueda-1,CVCL_2784,SIDM00591,753561,ACH-002045,HO1U1_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_tract,C4041
573,HOS,HOS,CVCL_0312,SIDM00806,907060,ACH-000613,HOS_BONE,bone,C9145
574,HPAC,HPAC; Hpac,CVCL_3517,SIDM00670,1298136,ACH-000270,HPAC_PANCREAS,pancreas,C8294
575,HPAF-II,HPAF-II; HPAF II; HPAFII; HPAF-2; HPAF2; HPAF/CD18; CD18/HPAF; HPAF-II/CD18; CD-18; CD18; CD 18,CVCL_0313,SIDM00669,724869,ACH-000094,HPAFII_PANCREAS,pancreas,C9120
576,HPB-ALL,HPB-ALL; HPB/ALL; HPBALL; FCCH1018,CVCL_1820,SIDM01618,NA,ACH-000942,HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C7953
577,HRT-18,HRT-18; HRT18,CVCL_2514,SIDM00788,NA,ACH-001091,HRT18_LARGE_INTESTINE,large_intestine,C4349
578,Hs 172.T,Hs 172.T; Hs-172-T; Hs172T; HS172T,CVCL_0660,SIDM01616,NA,ACH-000088,HS172T_FIBROBLAST,urinary_tract,C4912
579,Hs 229.T,Hs 229.T; Hs-229-T; Hs229T; HS229T,CVCL_0698,SIDM01615,NA,ACH-000131,HS229T_FIBROBLAST,lung,C3512
580,Hs 255.T,Hs 255.T; Hs-255-T; Hs255T; HS255T; Hs255,CVCL_0707,SIDM01613,NA,ACH-000199,HS255T_FIBROBLAST,large_intestine,C2955
581,Hs 274.T,Hs 274.T; Hs-274-T; Hs274T; HS274T; Hs 274,CVCL_0711,SIDM01592,NA,ACH-000134,HS274T_BREAST,breast,C4872
582,Hs 281.T,Hs 281.T; Hs-281-T; Hs281T; HS281T,CVCL_0715,SIDM01594,NA,ACH-000083,HS281T_FIBROBLAST,breast,C4872
583,Hs 294T,Hs 294T; HS-294T; Hs-294T; HS-294-T; HS-294; Hs294T; HS294T; Hs294,CVCL_0331,SIDM00800,NA,ACH-000014,HS294T_SKIN,skin,C3224
584,Hs 343.T,Hs 343.T; Hs-343-T; Hs343T; HS343T,CVCL_0726,SIDM01590,NA,ACH-000184,HS343T_FIBROBLAST,breast,C4872
585,Hs 38.T,Hs 38.T,CVCL_0735,NA,NA,NA,NA,ovary,C8110
586,Hs 445,Hs 445; HS-445; Hs-445; HS 445T; Hs445; HS445,CVCL_0761,SIDM00668,1322218,ACH-002245,HS445_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,NA
587,Hs 571.T,Hs 571.T; Hs571T; HS571T,CVCL_0802,NA,NA,NA,NA,ovary,C4908
588,Hs 578Bst,"Hs 578Bst; Hs578Bst; HS578BST; Hs-578Bst; Hs 578.Bst; Homo sapiens No. 578, breast cells",CVCL_0807,NA,NA,NA,NA,breast,NA
589,Hs 600.T,Hs 600.T; Hs-600-T; Hs600T; HS600T,CVCL_0814,SIDM01580,NA,ACH-000240,HS600T_FIBROBLAST,skin,C3224
590,Hs 604.T,Hs 604.T; Hs604T; HS604T,CVCL_0816,NA,NA,NA,NA,haematopoietic_and_lymphoid,C9357
591,Hs 606.T,Hs 606.T; Hs-606-T; Hs606T; HS606T; Hs 606; Hs606,CVCL_0819,SIDM01591,NA,ACH-000540,HS606T_FIBROBLAST,breast,C4872
592,Hs 611.T,Hs 611.T; Hs-611-T; Hs611T; HS611T,CVCL_0823,SIDM01567,NA,ACH-000069,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,haematopoietic_and_lymphoid,C9357
593,Hs 616.T,Hs 616.T; Hs-616-T; Hs616T; HS616T,CVCL_0825,SIDM01566,NA,ACH-000063,HS616T_FIBROBLAST,haematopoietic_and_lymphoid,C9357
594,Hs 618.T,Hs 618.T; Hs-618-T; Hs618T; HS618T,CVCL_0827,SIDM01565,NA,ACH-000539,HS618T_FIBROBLAST,lung,C3512
595,Hs 633.T,Hs 633.T; Hs 633T; HS 633T; HS-633T; Hs633T; MBA/8387; MB 8387; 8387; Line 8387; HS 8387,CVCL_0832,SIDM00667,1240149,ACH-002246,HS633T_SOFT_TISSUE,soft_tissue,C3043
596,Hs 675.T,Hs 675.T; Hs-675-T; Hs675T; HS675T; Hs675; 675T,CVCL_0836,SIDM01564,NA,ACH-000214,HS675T_FIBROBLAST,large_intestine,C2955
597,Hs 683,Hs 683; HS 683; HS-683; Hs-683; Hs683; HS683; Hs 683.T; HS 683T; Hs683T,CVCL_0844,SIDM00666,1240150,ACH-000067,HS683_CENTRAL_NERVOUS_SYSTEM,brain,C3288
598,Hs 688(A).T,Hs 688(A).T; Hs688(A)T; Hs-688A-T; HS688AT,CVCL_0846,SIDM01563,NA,ACH-000306,HS688AT_FIBROBLAST,skin,C3224
599,Hs 695T,Hs 695T; Hs 695.T; Hs-695-T; HS-695T; HS 695T; Hs695T; HS695T; Hs695,CVCL_0851,SIDM01561,NA,ACH-000799,HS695T_SKIN,skin,C3802
600,Hs 698.T,Hs 698.T; Hs698T; HS698T,CVCL_0855,NA,NA,NA,NA,large_intestine,C2955
601,Hs 706.T,Hs 706.T; Hs706T; HS706T,CVCL_0863,NA,NA,NA,NA,bone,C4304
602,Hs 729.T,Hs 729.T; Hs 729; HS-729; Hs729; HS729; Hs-729-T; Hs 729T; Hs729T; HS729T,CVCL_0871,SIDM01560,NA,ACH-000133,HS729_SOFT_TISSUE,soft_tissue,C8971
603,Hs 737.T,Hs 737.T; Hs737T; HS737T,CVCL_0878,NA,NA,NA,NA,bone,C4304
604,Hs 739.T,Hs 739.T; Hs739T; HS739T,CVCL_0882,NA,NA,NA,NA,breast,C4872
