dname,chembl_id,inchikey,smiles,cid,molecular_formula,clinical_phase,cid_m,cid_s,stitch_name,drugbank_id,kegg_id,target_genes,PUBCHCID,TTD_TARGETS
CIMETIDINE,CHEMBL30,AQIXAKUUQRKLND-UHFFFAOYSA-N,CC1=C(N=CN1)CSCCNC(=NC)NC#N,2756,C10H16N6S,4,CIDm00002756,CIDs00002756,cimetidine,DB00501,D00295,,2756,HRH2
CINOXACIN,CHEMBL1208,VDUWPHTZYNWKRN-UHFFFAOYSA-N,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,2762,C12H10N2O5,4,CIDm00002762,CIDs00002762,cinoxacin,DB00827,D00872,,2762,TOP2A; TOP2B
CIPROFIBRATE,CHEMBL557555,KPSRODZRAIWAKH-UHFFFAOYSA-N,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,2763,C13H14Cl2O3,4,CIDm00002763,CIDs00002763,ciprofibrate,,D03521,,2763,PPARA
CLOTRIMAZOLE,CHEMBL104,VNFPBHJOKIVQEB-UHFFFAOYSA-N,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,2812,C22H17ClN2,4,CIDm00002812,CIDs00002812,clotrimazole,DB00257,D00282,,2812,CXCR2
CLOZAPINE,CHEMBL42,ZUXABONWMNSFBN-UHFFFAOYSA-N,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl,2818,C18H19ClN4,4,CIDm00002818,CIDs00002818,clozapine,DB00363,D00283,,2818,DRD4
DOMPERIDONE,CHEMBL219916,FGXWKSZFVQUSTL-UHFFFAOYSA-N,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,3151,C22H24ClN5O2,4,CIDm00003151,CIDs00003151,domperidone,DB01184,D01745,,3151,DRD2
DROPERIDOL,CHEMBL1108,RMEDXOLNCUSCGS-UHFFFAOYSA-N,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,3168,C22H22FN3O2,4,CIDm00003168,CIDs00003168,droperidol,DB00450,D00308,,3168,DRD2
DYPHYLLINE,CHEMBL1752,KSCFJBIXMNOVSH-UHFFFAOYSA-N,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,3182,C10H14N4O4,4,CIDm00003182,CIDs00003182,diprophylline,DB00651,D00691,,3182,PDE4A
EMBELIN,CHEMBL221137,IRSFLDGTOHBADP-UHFFFAOYSA-N,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,3218,C17H26O4,0,CIDm00003218,CIDs00003218,embelin,,C10342,,3218,XIAP
EMODIN,CHEMBL289277,RHMXXJGYXNZAPX-UHFFFAOYSA-N,CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O,3220,C15H10O5,0,CIDm00003220,CIDs00003220,emodin,DB07715,C10343,,3220,CSNK2A1
ETODOLAC,CHEMBL622,NNYBQONXHNTVIJ-UHFFFAOYSA-N,CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O,3308,C17H21NO3,4,CIDm00003308,CIDs00003308,etodolac,DB00749,D00315,,3308,PTGS2
FAMCICLOVIR,CHEMBL880,GGXKWVWZWMLJEH-UHFFFAOYSA-N,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,3324,C14H19N5O4,4,CIDm00003324,CIDs00003324,famciclovir,DB00426,D00317,,3324,HSV UL30
FENOFIBRATE,CHEMBL672,YMTINGFKWWXKFG-UHFFFAOYSA-N,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,3339,C20H21ClO4,4,CIDm00003339,CIDs00003339,fenofibrate,DB01039,D00565,,3339,PPARA
FLUCONAZOLE,CHEMBL106,RFHAOTPXVQNOHP-UHFFFAOYSA-N,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,3365,C13H12F2N6O,4,CIDm00003365,CIDs00003365,fluconazole,DB00196,D00322,,3365,Candi ERG11
FLUCYTOSINE,CHEMBL1463,XRECTZIEBJDKEO-UHFFFAOYSA-N,C1=NC(=O)NC(=C1F)N,3366,C4H4FN3O,4,CIDm00003366,CIDs00003366,flucytosine,DB01099,D00323,,3366,Candi TMP1
FLUFENAMIC ACID,CHEMBL23588,LPEPZBJOKDYZAD-UHFFFAOYSA-N,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,3371,C14H10F3NO2,4,CIDm00003371,CIDs00003371,flufenamic acid,DB02266,D01581,,3371,"AKR1C3,PTGS2,PTGS1,AR"
FLURBIPROFEN,CHEMBL563,SYTBZMRGLBWNTM-UHFFFAOYSA-N,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,3394,C15H13FO2,4,CIDm00003394,CIDs00003394,flurbiprofen,DB00712,D00330,,3394,PTGS2
FUROSEMIDE,CHEMBL35,ZZUFCTLCJUWOSV-UHFFFAOYSA-N,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,3440,C12H11ClN2O5S,4,CIDm00003440,CIDs00003440,furosemide,DB00695,D00331,,3440,SLC12A1
GEMFIBROZIL,CHEMBL457,HEMJJKBWTPKOJG-UHFFFAOYSA-N,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,3463,C15H22O3,4,CIDm00003463,CIDs00003463,gemfibrozil,DB01241,D00334,,3463,LPL
GLICLAZIDE,CHEMBL427216,BOVGTQGAOIONJV-UHFFFAOYSA-N,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,3475,C15H21N3O3S,4,CIDm00003475,CIDs00003475,gliclazide,DB01120,D01599,,3475,ABCC8
GLIMEPIRIDE,CHEMBL149223,WIGIZIANZCJQQY-UHFFFAOYSA-N,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,3476,C24H34N4O5S,4,CIDm00003476,CIDs00003476,glimepiride,DB00222,D00593,,3476,"ABCC8,ABCC9"
GLIPIZIDE,CHEMBL1073,ZJJXGWJIGJFDTL-UHFFFAOYSA-N,CC1=NC=C(N=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,3478,C21H27N5O4S,4,CIDm00003478,CIDs00003478,glipizide,DB01067,D00335,,3478,KCNJ10
GLYBURIDE,CHEMBL472,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,3488,C23H28ClN3O5S,4,CIDm00003488,CIDs00003488,glibenclamide,DB01016,D00336,,3488,ABCC8
GO 6983,CHEMBL261491,LLJJDLHGZUOMQP-UHFFFAOYSA-N,CN(C)CCCN1C=C(C2=C1C=CC(=C2)OC)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,3499,C26H26N4O3,0,CIDm00003499,CIDs00003499,Go 6983,,,,3499,"PRKCG,PRKCA,PRKCB,PRKCD,PRKCZ"
HALOPERIDOL,CHEMBL54,LNEPOXFFQSENCJ-UHFFFAOYSA-N,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,3559,C21H23ClFNO2,4,CIDm00003559,CIDs00003559,haloperidol,DB00502,D00136,,3559,DRD2
HEXESTROL,CHEMBL6615,PBBGSZCBWVPOOL-UHFFFAOYSA-N,CCC(C1=CC=C(C=C1)O)C(CC)C2=CC=C(C=C2)O,3606,C18H22O2,0,CIDm00003606,CIDs00003606,hexestrol,,D01641,,3606,"ESR2,ESR1"
HYDROCHLOROTHIAZIDE,CHEMBL435,JZUFKLXOESDKRF-UHFFFAOYSA-N,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,3639,C7H8ClN3O4S2,4,CIDm00003639,CIDs00003639,hydrochlorothiazide,DB00999,D00340,,3639,SLC33A1
IBUPROFEN,CHEMBL521,HEFNNWSXXWATRW-UHFFFAOYSA-N,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,3672,C13H18O2,4,CIDm00003672,CIDs00003672,ibuprofen,DB01050,D00126,,3672,"PTGS2,CXCR1,CXCR2,CXCL8"
LIDOCAINE,CHEMBL79,NNJVILVZKWQKPM-UHFFFAOYSA-N,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,3676,C14H22N2O,4,CIDm00003676,CIDs00003676,lidocaine,DB00281,D00358,,3676,SCN11A
INDAPAMIDE,CHEMBL406,NDDAHWYSQHTHNT-UHFFFAOYSA-N,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,3702,C16H16ClN3O3S,4,CIDm00003702,CIDs00003702,indapamide,DB00808,D00345,,3702,KCNQ1
INDOMETHACIN,CHEMBL6,CGIGDMFJXJATDK-UHFFFAOYSA-N,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,3715,C19H16ClNO4,4,CIDm00003715,CIDs00003715,indomethacin,DB00328,D00141,,3715,PTGS2
IRBESARTAN,CHEMBL1513,YOSHYTLCDANDAN-UHFFFAOYSA-N,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,3749,C25H28N6O,4,CIDm00003749,CIDs00003749,irbesartan,DB01029,D00523,,3749,AGTR1
WHI-P154,CHEMBL473773,CBIAKDAYHRWZCU-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC,3795,C16H14BrN3O3,0,CIDm00003795,CIDs00003795,WHI-P154,,,,3795,"EGFR,JAK2,JAK3,JAK1"
KETOPROFEN,CHEMBL571,DKYWVDODHFEZIM-UHFFFAOYSA-N,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O,3825,C16H14O3,4,CIDm00003825,CIDs00003825,ketoprofen,DB01009,D00132,,3825,PTGS2
KETOROLAC,CHEMBL469,OZWKMVRBQXNZKK-UHFFFAOYSA-N,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,3826,C15H13NO3,4,CIDm00003826,CIDs00003826,ketorolac,DB00465,D08104,,3826,PTGS1; PTGS2
BETA-LAPACHONE,CHEMBL15192,QZPQTZZNNJUOLS-UHFFFAOYSA-N,CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C,3885,C15H14O3,2,CIDm00003885,CIDs00003885,beta-lapachone,DB11948,C10367,,3885,TOP1
LORATADINE,CHEMBL998,JCCNYMKQOSZNPW-UHFFFAOYSA-N,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,3957,C22H23ClN2O2,4,CIDm00003957,CIDs00003957,loratadine,DB00455,D00364,,3957,HRH1
LY294002,CHEMBL98350,CZQHHVNHHHRRDU-UHFFFAOYSA-N,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4,3973,C19H17NO3,0,CIDm00003973,CIDs00003973,LY294002 hydrochloride,DB02656,C15195,,3973,PIK3CG
MANIDIPINE,CHEMBL1085699,ANEBWFXPVPTEET-UHFFFAOYSA-N,CC1=C(C(C(=C(N1)C)C(=O)OCCN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC,4008,C35H38N4O6,4,CIDm00004008,CIDs00004008,manidipine,DB09238,D08155,,4008,Trypano CYSP
EDARAVONE,CHEMBL290916,QELUYTUMUWHWMC-UHFFFAOYSA-N,CC1=NN(C(=O)C1)C2=CC=CC=C2,4021,C10H10N2O,4,CIDm00004021,CIDs00004021,edaravone,DB12243,D01552,,4021,BCL2
MEFENAMIC ACID,CHEMBL686,HYYBABOKPJLUIN-UHFFFAOYSA-N,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,4044,C15H15NO2,4,CIDm00004044,CIDs00004044,mefenamic acid,DB00784,D00151,,4044,PTGS2
MENADIONE,CHEMBL590,MJVAVZPDRWSRRC-UHFFFAOYSA-N,CC1=CC(=O)C2=CC=CC=C2C1=O,4055,C11H8O2,4,CIDm00004055,CIDs00004055,menadione,DB00170,D02335,,4055,AOX1
METHAZOLAMIDE,CHEMBL1335656,FLOSMHQXBMRNHR-UHFFFAOYSA-N,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,4100,C5H8N4O3S2,4,CIDm00001798,CIDs00004100,methazolamide,DB00703,D00655,,4100,CA1
METOLAZONE,CHEMBL878,AQCHWTWZEMGIFD-UHFFFAOYSA-N,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,4170,C16H16ClN3O3S,4,CIDm00004170,CIDs00004170,metolazone,DB00524,D00431,,4170,SLC12A3
MICONAZOLE,CHEMBL91,BYBLEWFAAKGYCD-UHFFFAOYSA-N,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,4189,C18H14Cl4N2O,4,CIDm00004189,CIDs00004189,miconazole,DB01110,D00882,,4189,Candi ERG11
MIRTAZAPINE,CHEMBL654,RONZAEMNMFQXRA-UHFFFAOYSA-N,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,4205,C17H19N3,4,CIDm00004205,CIDs00004205,mirtazapine,DB00370,D00563,,4205,HTR2C
MOCLOBEMIDE (RO 111163),CHEMBL86304,YHXISWVBGDMDLQ-UHFFFAOYSA-N,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl,4235,C13H17ClN2O2,4,CIDm00004235,CIDs00004235,moclobemide,DB01171,D02561,,4235,MAOA
ENTINOSTAT (MS-275),CHEMBL27759,INVTYAOGFAGBOE-UHFFFAOYSA-N,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,4261,C21H20N4O3,3,CIDm00004261,CIDs00004261,entinostat,DB11841,D09338,,4261,HDAC1
NABUMETONE,CHEMBL1070,BLXXJMDCKKHMKV-UHFFFAOYSA-N,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,4409,C15H16O2,4,CIDm00004409,CIDs00004409,nabumetone,DB00461,D00425,,4409,PTGS2
NAFTOPIDIL,CHEMBL142635,HRRBJVNMSRJFHQ-UHFFFAOYSA-N,COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O,4418,C24H28N2O3,4,CIDm00004418,CIDs00004418,naftopidil,DB12092,D01674,,4418,ADRA1A
NALIDIXIC ACID,CHEMBL5,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,4421,C12H12N2O3,4,CIDm00004421,CIDs00004421,nalidixic acid,DB00779,D00183,,4421,TOP2A; TOP2B
NARATRIPTAN,CHEMBL1278,AMKVXSZCKVJAGH-UHFFFAOYSA-N,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,4440,C17H25N3O2S,4,CIDm00004440,CIDs00004440,naratriptan,DB00952,D08255,,4440,HTR1B
NEVIRAPINE,CHEMBL57,NQDJXKOVJZTUJA-UHFFFAOYSA-N,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,4463,C15H14N4O,4,CIDm00004463,CIDs00004463,nevirapine,DB00238,D00435,,4463,HIV RT
NIFLUMIC ACID,CHEMBL63323,JZFPYUNJRRFVQU-UHFFFAOYSA-N,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,4488,C13H9F3N2O2,0,CIDm00004488,CIDs00004488,niflumic acid,DB04552,D08275,,4488,PTGS2
NILVADIPINE,CHEMBL517427,FAIIFDPAEUKBEP-UHFFFAOYSA-N,CC1=C(C(C(=C(N1)C#N)C(=O)OC)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC(C)C,4494,C19H19N3O6,3,CIDm00004494,CIDs00004494,nilvadipine,DB06712,D01908,,4494,"CACNA1C,CACNA1D"
NIMESULIDE,CHEMBL56367,HYWYRSMBCFDLJT-UHFFFAOYSA-N,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,4495,C13H12N2O5S,4,CIDm00004495,CIDs00004495,nimesulide,DB04743,D01049,,4495,"PTGS2,LTF,TNFSF10"
NITRENDIPINE,CHEMBL475534,PVHUJELLJLJGLN-UHFFFAOYSA-N,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,4507,C18H20N2O6,4,CIDm00004507,CIDs00004507,nitrendipine,DB01054,D00629,,4507,CACNA2D1
OLANZAPINE,CHEMBL715,WXPNDRBBWZMPQG-UHFFFAOYSA-N,CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C,4585,C17H20N4S,4,CIDm00004585,CIDs00004585,olanzapine,DB00334,D00454,,4585,DRD2
OMEPRAZOLE,CHEMBL1503,SUBDBMMJDZJVOS-UHFFFAOYSA-N,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,4594,C17H19N3O3S,4,CIDm00004594,CIDs00004594,omeprazole,DB00338,D00455,,4594,ATP4A; ATP4B
OXAPROZIN,CHEMBL1071,OFPXSFXSNFPTHF-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,4614,C18H15NO3,4,CIDm00004614,CIDs00004614,oxaprozin,DB00991,D00463,,4614,PTGS1; PTGS2
PD168393,CHEMBL285063,HTUBKQUPEREOGA-UHFFFAOYSA-N,C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br,4708,C17H13BrN4O,0,CIDm00004708,CIDs00004708,pd 168393,DB07662,,,4708,"EGFR,ERBB2"
PHENINDIONE,CHEMBL711,NFBAXHOPROOJAW-UHFFFAOYSA-N,C1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,4760,C15H10O2,4,CIDm00004760,CIDs00004760,phenindione,DB00498,D08354,,4760,VKORC1
PHENYLBUTAZONE,CHEMBL101,VYMDGNCVAMGZFE-UHFFFAOYSA-N,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,4781,C19H20N2O2,4,CIDm00004781,CIDs00004781,phenylbutazone,DB00812,D00510,,4781,PTGS2
PMSF,CHEMBL190503,YBYRMVIVWMBXKQ-UHFFFAOYSA-N,C1=CC=C(C=C1)CS(=O)(=O)F,4784,C7H7FO2S,0,CIDm00004784,CIDs00004784,phenylmethylsulfonyl fluoride,,C06747,,4784,SLC37A4
PHLORETIN,CHEMBL45068,VGEREEWJJVICBM-UHFFFAOYSA-N,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,4788,C15H14O5,0,CIDm00004788,CIDs00004788,phloretin,DB07810,C00774,,4788,"SLC23A1,CLCN3,AQP9"
PIOGLITAZONE,CHEMBL595,HYAFETHFCAUJAY-UHFFFAOYSA-N,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,4829,C19H20N2O3S,4,CIDm00004829,CIDs00004829,pioglitazone,DB01132,D08378,,4829,PPARG
PJ34,CHEMBL372303,UYJZZVDLGDDTCL-UHFFFAOYSA-N,CN(C)CC(=O)NC1=CC2=C(C=C1)NC(=O)C3=CC=CC=C32,4858,C17H17N3O2,0,CIDm00004858,CIDs00004858,PJ34 hydrochloride hydrate,DB08348,,,4858,PARP1
PP2,CHEMBL406845,PBBRWFOVCUAONR-UHFFFAOYSA-N,CC(C)(C)N1C2=C(C(=N1)C3=CC=C(C=C3)Cl)C(=NC=N2)N,4878,C15H16ClN5,0,CIDm00004878,CIDs00004878,Src family kinase inhibitor PP2,,,,4878,"ABL1,LCK,SRC,RIPK2,CRP,PTK6"
PRANLUKAST,CHEMBL21333,NBQKINXMPLXUET-UHFFFAOYSA-N,C1=CC=C(C=C1)CCCCOC2=CC=C(C=C2)C(=O)NC3=CC=CC4=C3OC(=CC4=O)C5=NNN=N5,4887,C27H23N5O4,3,CIDm00004887,CIDs00004887,pranlukast,DB01411,D08408,,4887,CYSLTR1
PRILOCAINE,CHEMBL1194,MVFGUOIZUNYYSO-UHFFFAOYSA-N,CCCNC(C)C(=O)NC1=CC=CC=C1C,4906,C13H20N2O,4,CIDm00004906,CIDs00004906,prilocaine,DB00750,D00553,,4906,SCN5A
PYRIMETHAMINE,CHEMBL36,WKSAUQYGYAYLPV-UHFFFAOYSA-N,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,4993,C12H13ClN4,4,CIDm00004993,CIDs00004993,pyrimethamine,DB00205,D00488,,4993,FOLR1
REBAMIPIDE,CHEMBL1697771,ALLWOAVDORUJLA-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CC(=O)N2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)Cl,5042,C19H15ClN2O4,4,CIDm00005042,CIDs00005042,rebamipide,DB11656,D01121,,5042,FPR1
RIMANTADINE,CHEMBL959,UBCHPRBFMUDMNC-UHFFFAOYSA-N,CC(C12CC3CC(C1)CC(C3)C2)N,5071,C12H21N,4,CIDm00005071,CIDs00005071,rimantadine,DB00478,D08483,,5071,Influ M
ROFECOXIB,CHEMBL122,RZJQGNCSTQAWON-UHFFFAOYSA-N,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,5090,C17H14O4S,4,CIDm00005090,CIDs00005090,rofecoxib,DB00533,D00568,,5090,PTGS2
ROLIPRAM,CHEMBL63,HJORMJIFDVBMOB-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,5092,C16H21NO3,2,CIDm00005092,CIDs00005092,rolipram,DB01954,D01783,,5092,"PDE5A,PDE4D,PDE4A,PDE4B"
SASAPYRINE,CHEMBL154111,WVYADZUPLLSGPU-UHFFFAOYSA-N,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,5161,C14H10O5,4,CIDm00005161,CIDs00005161,salsalate,DB01399,D00428,,5161,PTGS1
SCRIPTAID,CHEMBL96051,JTDYUFSDZATMKU-UHFFFAOYSA-N,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,5186,C18H18N2O4,0,CIDm00005186,CIDs00005186,scriptaid,,,,5186,HDAC1
SULFADIAZINE,CHEMBL439,SEEPANYCNGTZFQ-UHFFFAOYSA-N,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,5215,C10H10N4O2S,4,CIDm00005215,CIDs00005215,sulfadiazine,DB00359,D00587,,5215,Bact folP
SOTALOL,CHEMBL471,ZBMZVLHSJCTVON-UHFFFAOYSA-N,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,5253,C12H20N2O3S,4,CIDm00005253,CIDs00005253,sotalol,DB00489,D08525,,5253,ADRB1
SODIUM PHENYLBUTYRATE,CHEMBL1746,VPZRWNZGLKXFOE-UHFFFAOYSA-M,C1=CC=C(C=C1)CCCC(=O)[O-].[Na+],5258,C10H11NaO2,4,CIDm00004775,CIDs00004775,4-phenylbutyrate,,D05868,,5258,PRKCA
SULFAMERAZINE,CHEMBL438,QPPBRPIAZZHUNT-UHFFFAOYSA-N,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N,5325,C11H12N4O2S,4,CIDm00005325,CIDs00005325,sulfamerazine,DB01581,D02435,,5325,Bact folP
SULFAMETHAZINE,CHEMBL446,ASWVTGNCAZCNNR-UHFFFAOYSA-N,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,5327,C12H14N4O2S,4,CIDm00005327,CIDs00005327,sulfamethazine,DB01582,D02436,,5327,Bact folP
SULFAMETHIZOLE,CHEMBL1191,VACCAVUAMIDAGB-UHFFFAOYSA-N,CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N,5328,C9H10N4O2S2,4,CIDm00005328,CIDs00005328,sulfamethizole,DB00576,D00870,,5328,Bact folP
SULFAMETHOXAZOLE,CHEMBL443,JLKIGFTWXXRPMT-UHFFFAOYSA-N,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,5329,C10H11N3O3S,4,CIDm00005329,CIDs00005329,sulfamethoxazole,DB01015,D00447,,5329,Bact folP
SULFANILAMIDE,CHEMBL21,FDDDEECHVMSUSB-UHFFFAOYSA-N,C1=CC(=CC=C1N)S(=O)(=O)N,5333,C6H8N2O2S,4,CIDm00005333,CIDs00005333,sulfonamide,DB00259,D08543,,5333,Bact folP
SULFAPYRIDINE,CHEMBL700,GECHUMIMRBOMGK-UHFFFAOYSA-N,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,5336,C11H11N3O2S,4,CIDm00005336,CIDs00005336,sulfapyridine,DB00891,D02434,,5336,Bact folP
SULFISOXAZOLE,CHEMBL453,NHUHCSRWZMLRLA-UHFFFAOYSA-N,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,5344,C11H13N3O3S,4,CIDm00005344,CIDs00005344,sulfisoxazole,DB00263,D00450,,5344,Bact folP
SUPROFEN,CHEMBL956,MDKGKXOCJGEUJW-UHFFFAOYSA-N,CC(C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O,5359,C14H12O3S,4,CIDm00005359,CIDs00005359,suprofen,DB00870,D00452,,5359,PTGS1
GATIFLOXACIN,CHEMBL31,XUBOMFCQGDBHNK-UHFFFAOYSA-N,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,5379,C19H22FN3O4,4,CIDm00005379,CIDs00005379,gatifloxacin,DB01044,D08011,,5379,"Stap-coc parC,Bact gyrA; Bact gyrB"
TAZAROTENE,CHEMBL1657,OGQICQVSFDPSEI-UHFFFAOYSA-N,CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(C=C2)SCCC3(C)C,5381,C21H21NO2S,4,CIDm00005381,CIDs00005381,tazarotene,DB00799,D01132,,5381,RARG
TERFENADINE,CHEMBL17157,GUGOEEXESWIERI-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,5405,C32H41NO2,4,CIDm00005405,CIDs00005405,terfenadine,DB00342,D00521,,5405,HRH1
TIOCONAZOLE,CHEMBL1200438,QXHHHPZILQDDPS-UHFFFAOYSA-N,C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=C(SC=C3)Cl,5482,C16H13Cl3N2OS,4,CIDm00005482,CIDs00005482,tioconazole,DB01007,D00890,,5482,Candi ERG11
TOLBUTAMIDE,CHEMBL782,JLRGJRBPOGGCBT-UHFFFAOYSA-N,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,5505,C12H18N2O3S,4,CIDm00005505,CIDs00005505,tolbutamide,DB01124,D00380,,5505,"ABCC8,ABCC9"
