,dname,chembl_id,inchikey,smiles,cid,molecular_formula,clinical_phase,cid_m,cid_s,stitch_name,drugbank_id,kegg_id,target_genes
181,TAMOXIFEN,CHEMBL83,NKANXQFJJICGDU-QPLCGJKRSA-N,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,2733526,C26H29NO,4,CIDm00005376,CIDs02733525,tamoxifen,DB00675,D08559,"ESR1,ESR2,CYP3A5,EBP,GPER1,PRKCA,PRKCB,PRKCD,PRKCE,PRKCG,PRKCI,PRKCQ,PRKCZ"
1170,DIETHYLSTILBESTROL,CHEMBL411,RGLYKWWBQGJZGM-ISLYRVAYSA-N,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,448537,C18H20O2,4,CIDm00003054,CIDs00448537,estrogen,,D00577,"ESR1,ESR2,ESRRG,ESRRB"
646,ESTRADIOL,CHEMBL135,VOXZDWNPVJITMN-ZBRFXRBCSA-N,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,5757,C18H24O2,4,CIDm00000450,CIDs00005757,estradiol,DB00783,D00105,"ESR1,ESR2,NR1I2,CYP2B6,CYP2C19,CYP2C8,CYP2E1,CYP3A5,CYP3A7,GPER1,KCNMA1"
1336,DAIDZEIN,CHEMBL8145,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,5281708,C15H10O4,0,CIDm05281708,CIDs05281708,daidzein,,C10208,"ESRRA,ESRRB,ESRRG,TRPC5"
1527,RIVAROXABAN,CHEMBL198362,KGFYHTZWPPHNLQ-AWEZNQCLSA-N,C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl,9875401,C19H18ClN3O5S,4,CIDm06433119,CIDs09875401,rivaroxaban,DB06228,D07086,"F10,CYP2J2,CYP3A5"
1004,OCTOPAMINE HYDROCHLORIDE,CHEMBL1367565,PUMZXCBVHLCWQG-UHFFFAOYSA-N,C1=CC(=CC=C1C(CN)O)O.Cl,102484,C8H12ClNO2,0,CIDm00004581,CIDs00004581,octopamine,,D00178,"F10,TAAR1"
131,ARGATROBAN,CHEMBL1166,KXNPVXPOPUZYGB-IOVMHBDKSA-N,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,92722,C23H36N6O5S,4,CIDm00002232,CIDs00092721,argatroban,,,"F2,CYP3A5"
339,PYRAZINAMIDE,CHEMBL614,IPEHBUMCGVEMRF-UHFFFAOYSA-N,C1=CN=C(C=N1)C(=O)N,1046,C5H5N3O,4,CIDm00001046,CIDs00001046,pyrazinamide,DB00339,D00144,FASN
2489,cerulenin,CHEMBL45627,GVEZIHKRYBHEFX-NQQPLRFYSA-N,CC=CCC=CCCC(=O)C1C(O1)C(=O)N,5282054,C12H17NO3,0,CIDm00028517,CIDs05282054,cerulenin,,C12058,FASN
1666,GW9508,CHEMBL207881,DGENZVKCTGIDRZ-UHFFFAOYSA-N,C1=CC=C(C=C1)OC2=CC=CC(=C2)CNC3=CC=C(C=C3)CCC(=O)O,11595431,C22H21NO3,0,CIDm11595431,CIDs11595431,4-(3-phenoxybenzylamino)-phenylpropionic acid,,,"FFAR4,FFAR1"
2829,amlexanox,CHEMBL1096,SGRYPYWGNKJSDL-UHFFFAOYSA-N,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,2161,C16H14N2O4,4,CIDm00002161,CIDs00002161,amlexanox,DB01025,D01828,"FGF1,IL3,S100A12,S100A13"
436,PD173074,CHEMBL189584,DXCUKNQANPLTEJ-UHFFFAOYSA-N,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C,1401,C28H41N7O3,0,CIDm00001401,CIDs00001401,PD 173074,,,"FGFR1,FGFR3,FGFR2,FGFR4,FLT1,FLT4,KDR,PDGFRA,PDGFRB"
1620,BRIVANIB (BMS-540215),CHEMBL377300,WCWUXEGQKLTGDX-LLVKDONJSA-N,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OCC(C)O)C,11234052,C19H19FN4O3,3,CIDm11234052,CIDs11234052,brivanib,DB11958,D09589,"FGFR1,KDR,FLT1,CYP3A4,FGFR2,FGFR3,FLT4,KCNH2"
230,TACROLIMUS,CHEMBL269732,QJJXYPPXXYFBGM-LFZNUXCKSA-N,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC,445643,C44H69NO12,4,CIDm00005372,CIDs00445643,tacrolimus,DB00864,D00107,"FKBP1A,CYP3A5,CYP3A7"
1544,TIVOZANIB (AV-951),CHEMBL1289494,SPMVMDHWKHCIDT-UHFFFAOYSA-N,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,9911830,C22H19ClN4O5,4,CIDm09911830,CIDs09911830,tivozanib,DB11800,D09683,"FLT1,FLT4,KDR,KIT,PDGFRA,PDGFRB"
1392,ZM 306416,CHEMBL150315,YHUIUSRCUKUUQA-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=C(C=C(C=C3)Cl)F)OC,5329006,C16H13ClFN3O2,0,CIDm05329006,CIDs05329006,ZM-306416,,,"FLT1,KDR,EGFR,FLT4"
445,TYRPHOSTIN AG 1296,CHEMBL71191,QNOXYUNHIGOWNY-UHFFFAOYSA-N,COC1=C(C=C2C(=C1)N=CC(=N2)C3=CC=CC=C3)OC,2049,C16H14N2O2,0,CIDm00002049,CIDs00002049,tyrphostin AG 1296,,,FLT3
1223,TCS 359,CHEMBL210833,FSPQCTGGIANIJZ-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C(=O)NC2=C(C3=C(S2)CCCC3)C(=O)N)OC,1048845,C18H20N2O4S,0,CIDm01048845,CIDs01048845,FLT3 inhibitor,,,FLT3
1531,HMN-214,,OCKHRKSTDPOHEN-BQYQJAHWSA-N,CC(=O)N(C1=CC=CC=C1C=CC2=CC=[N+](C=C2)[O-])S(=O)(=O)C3=CC=C(C=C3)OC,9888590,C22H20N2O5S,0,CIDm09888590,CIDs09888590,HMN-214,,,"FLT3,KDR,KIT,FLT4,FLT1,PDGFRA,PDGFRB,RET,CSF1R,FGFR1"
1277,TANDUTINIB (MLN518),CHEMBL124660,UXXQOJXBIDBUAC-UHFFFAOYSA-N,CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5,3038522,C31H42N6O4,2,CIDm03038522,CIDs03038522,tandutinib,DB05465,D06005,"FLT3,KIT,PDGFRA,PDGFRB,CSF1R,PDGFD"
1069,TIPIFARNIB,CHEMBL289228,PLHJCIYEEKOWNM-HHHXNRCGSA-N,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,159324,C27H22Cl2N4O,3,CIDm00148193,CIDs00159324,tipifarnib,DB04960,D03720,"FNTA,FNTB"
602,REBAMIPIDE,CHEMBL1697771,ALLWOAVDORUJLA-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CC(=O)N2)CC(C(=O)O)NC(=O)C3=CC=C(C=C3)Cl,5042,C19H15ClN2O4,4,CIDm00005042,CIDs00005042,rebamipide,DB11656,D01121,FPR1
2894,suramin,CHEMBL265502,FIAFUQMPZJWCLV-UHFFFAOYSA-N,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C,5361,C51H40N6O23S6,3,CIDm00005360,CIDs00005360,suramin,DB04786,C07974,"FSHR,P2RY2,RYR1,F2,HPSE,P2RY1,P2RY11,P2RY13,PLA2G2A,RYR2,SIRT5"
191,ACARBOSE,CHEMBL404271,XUFXOAAUWZOOIT-UGEKTDRHSA-N,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO,41774,C25H43NO18,4,CIDm00041774,CIDs00041774,acarbose,,D00216,"GAA,MGAM,AMY2A,SI"
265,MIGLITOL,CHEMBL1561,IBAQFPQHRJAVAV-ULAWRXDQSA-N,C1C(C(C(C(N1CCO)CO)O)O)O,441314,C8H17NO5,4,CIDm00051577,CIDs00441314,miglitol,DB00491,D00625,"GAA,MGAM,GANAB,GANC,SLC5A4"
1337,POLYDATIN,CHEMBL142652,HSTZMXCBWJGKHG-CUYWLFDKSA-N,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O,5281718,C20H22O8,0,CIDm00073642,CIDs05281718,polydatin,DB11263,C10275,"GAA,XDH"
340,BACLOFEN,CHEMBL701,KPYSYYIEGFHWSV-UHFFFAOYSA-N,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,2284,C10H12ClNO2,4,CIDm00002284,CIDs00002284,baclofen,DB00181,D00241,"GABBR1,GABBR2"
461,BEMEGRIDE,CHEMBL1214192,ORRZGUBHBVWWOP-UHFFFAOYSA-N,CCC1(CC(=O)NC(=O)C1)C,2310,C8H13NO2,0,CIDm00002310,CIDs00002310,bemegride,,D01957,GABRA1
300,ETOMIDATE,CHEMBL681,NPUKDXXFDDZOKR-LLVKDONJSA-N,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2,667484,C14H16N2O2,4,CIDm00036339,CIDs00198290,etomidate,DB00292,D00548,"GABRA1,ADRA2B,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ"
128,ZALEPLON,CHEMBL1521,HUNXMJYCHXQEGX-UHFFFAOYSA-N,CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C,5719,C17H15N5O,4,CIDm00005719,CIDs00005719,zaleplon,DB00962,D00530,"GABRA1,AOX1,TSPO"
322,PRIMIDONE,CHEMBL856,DQMZLTXERSFNPB-UHFFFAOYSA-N,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,4909,C12H14N2O2,4,CIDm00004909,CIDs00004909,primidone,DB00794,D00474,"GABRA1,CHRNA4,CHRNA7,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,GRIA2,GRIK2"
165,FLUMAZENIL,CHEMBL407,OFBIFZUFASYYRE-UHFFFAOYSA-N,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,3373,C15H14FN3O3,4,CIDm00003373,CIDs00003373,flumazenil,DB01205,D00697,"GABRA1,GABRA2,GABRA3,GABRA5,GABRA4,GABRA6,GABRB1,GABRB2,GABRB3,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ"
814,LONIDAMINE,CHEMBL1257030,WDRYRZXSPDWGEB-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=NN2CC3=C(C=C(C=C3)Cl)Cl)C(=O)O,39562,C15H10Cl2N2O2,3,CIDm00039562,CIDs00039562,lonidamine,DB06266,D07257,GCK
2771,BUTHIONINE SULFOXIMINE,CHEMBL1256575,KJQFBVYMGADDTQ-UHFFFAOYSA-N,CCCCS(=N)(=O)CCC(C(=O)O)N,21157,C8H18N2O3S,1,CIDm00021157,CIDs00021157,buthionine sul.,DB12870,C04543,GCLM
593,PIRACETAM,CHEMBL36715,GMZVRMREEHBGGF-UHFFFAOYSA-N,C1CC(=O)N(C1)CC(=O)N,4843,C6H10N2O2,4,CIDm00004843,CIDs00004843,piracetam,DB09210,D01914,"GRIA1,GRIA2,GRIA3,GRIA4"
281,D-CYCLOSERINE,CHEMBL771,DYDCUQKUCUHJBH-UWTATZPHSA-N,C1C(C(=O)NO1)N,6234,C3H6N2O2,4,CIDm00000401,CIDs00006234,cycloserine,DB00260,D00877,GRIN1
1095,MK-801 (DIZOCILPINE),CHEMBL284237,LBOJYSIDWZQNJS-CVEARBPZSA-N,CC12C3=CC=CC=C3CC(N1)C4=CC=CC=C24,180081,C16H15N,0,CIDm00001207,CIDs00180081,dizocilpine,,C13737,"GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D"
1733,(-)-MK 801 MALEATE,CHEMBL465477,QLTXKCWMEZIHBJ-FWHYOZOBSA-N,CC12C3=CC=CC=C3CC(N1)C4=CC=CC=C24.C(=CC(=O)O)C(=O)O,16219612,C20H19NO4,0,CIDm00001207,CIDs06337640,dizocilpine,,,"GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D"
333,FELBAMATE,CHEMBL1094,WKGXYQFOCVYPAC-UHFFFAOYSA-N,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,3331,C11H14N2O4,4,CIDm00003331,CIDs00003331,felbamate,DB00949,D00536,"GRIN2A,GRIN2B,GRIN3A"
2567,409345-29-5,CHEMBL254574,QOTAQTRFJWLFCR-UHFFFAOYSA-N,COC1CCC(CC1)C(=O)C2=CC3=CC4=C(N=C3C=C2)OCCC4,11313361,C20H23NO3,0,CIDm11313361,CIDs11313361,JNJ-16259685,,,GRM1
4150,201943-63-7,CHEMBL432038,VLZBRVJVCCNPRJ-KPHUOKFYSA-N,C1C(C1C(CC2C3=CC=CC=C3OC4=CC=CC=C24)(C(=O)O)N)C(=O)O,9819927,C20H19NO5,0,CIDm04364840,CIDs09819927,LY-341495,,,"GRM2,GRM3"
1512,LY404039,CHEMBL375611,AVDUGNCTZRCAHH-MDASVERJSA-N,C1C(C2C(C2S1(=O)=O)C(=O)O)(C(=O)O)N,9834591,C7H9NO6S,1,CIDm09834591,CIDs09834591,LY404039,,C21577,"GRM3,GRM2"
1169,AR-A014418,CHEMBL259850,YAEMHJKFIIIULI-UHFFFAOYSA-N,COC1=CC=C(C=C1)CNC(=O)NC2=NC=C(S2)[N+](=O)[O-],448014,C12H12N4O4S,0,CIDm00448014,CIDs00448014,GSK3 inhibitor VIII,DB01950,,GSK3B
1091,SB216763,CHEMBL102714,JCSGFHVFHSKIJH-UHFFFAOYSA-N,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,176158,C19H12Cl2N2O2,0,CIDm00176158,CIDs00176158,Sb 216763,,,"GSK3B,CCNA2,CDK2,GSK3A"
1286,SB415286,CHEMBL322970,PQCXVIPXISBFPN-UHFFFAOYSA-N,C1=CC=C(C(=C1)C2=C(C(=O)NC2=O)NC3=CC(=C(C=C3)O)Cl)[N+](=O)[O-],4210951,C16H10ClN3O5,0,CIDm04210951,CIDs04210951,Sb 415286,,,"GSK3B,GSK3A,RPS6KB1"
1490,TWS119,CHEMBL405759,VPVLEBIVXZSOMQ-UHFFFAOYSA-N,C1=CC(=CC(=C1)N)C2=CC3=C(N2)N=CN=C3OC4=CC=CC(=C4)O,9549289,C18H14N4O2,0,CIDm09549289,CIDs09549289,TWS119,,,"GSK3B,JUN,MYC"
2896,AS601245,CHEMBL406703,RCYPVQCPYKNSTG-UHFFFAOYSA-N,C1=CC=C2C(=C1)N=C(S2)C(C#N)C3=NC(=NC=C3)NCCC4=CN=CC=C4,10109823,C20H16N6S,0,CIDm10109823,CIDs10109823,DB08022,,,"GSK3B,MAPK10,MAPK8,MAPK9,PIM1"
1374,ACIPIMOX,CHEMBL345714,DJQOOSBJCLSSEY-UHFFFAOYSA-N,CC1=CN=C(C=[N+]1[O-])C(=O)O,5310993,C6H6N2O3,4,CIDm05310993,CIDs05310993,acipimox,DB09055,D07190,HCAR2
431,NICOTINIC ACID,CHEMBL573,PVNIIMVLHYAWGP-UHFFFAOYSA-N,C1=CC(=CN=C1)C(=O)O,938,C6H5NO2,4,CIDm00000937,CIDs00000937,niacin,DB00627,D00049,"HCAR2,HCAR3,ACHE,DGAT2,HCAR1,NNMT,PTGDR,QPRT"
435,PP1,CHEMBL306380,ZVPDNRVYHLRXLX-UHFFFAOYSA-N,CC1=CC=C(C=C1)C2=NN(C3=C2C(=NC=N3)N)C(C)(C)C,1400,C16H19N5,0,CIDm00001400,CIDs00001400,EI 275,DB01809,,"HCK,RET,SRC"
3220,CHEMBL2052019,CHEMBL1314022,JABSKGQQWUDVRU-UHFFFAOYSA-O,CCN(C1=CC=CC=C1)C2=CC(=[N+](C(=N2)C)C)NC,3938007,C15H21N4+,0,CIDm00123983,CIDs03938007,ZENECA ZD7288,,,"HCN1,HCN2,HCN3,HCN4"
1287,SB408124,CHEMBL1334465,JTARFZSNUAGHRB-UHFFFAOYSA-N,CC1=NC2=C(C=C(C=C2C(=C1)NC(=O)NC3=CC=C(C=C3)N(C)C)F)F,4331799,C19H18F2N4O,0,CIDm04331799,CIDs04331799,SB-408124,,,"HCRTR1,HCRTR2"
486,CI994 (TACEDINALINE),CHEMBL235191,VAZAPHZUAVEOMC-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N,2746,C15H15N3O2,3,CIDm00002746,CIDs00002746,acetyldinaline,DB12291,D05988,HDAC1
2701,pyroxamide,CHEMBL353581,PTJGLFIIZFVFJV-UHFFFAOYSA-N,C1=CC(=CN=C1)NC(=O)CCCCCCC(=O)NO,4996,C13H19N3O3,1,CIDm00004996,CIDs00004996,pyroxamide,DB12847,,HDAC1
1659,QUISINOSTAT (JNJ-26481585),CHEMBL2105763,PAWIYAYFNXQGAP-UHFFFAOYSA-N,CN1C=C(C2=CC=CC=C21)CNCC3CCN(CC3)C4=NC=C(C=N4)C(=O)NO,11538455,C21H26N6O2,2,CIDm11538455,CIDs11538455,quisinostat,DB12985,D10321,"HDAC1,HDAC10,HDAC11,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,MDM2"
2705,PCI-24781,CHEMBL2103863,MAUCONCHVWBMHK-UHFFFAOYSA-N,CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO,11749858,C21H23N3O5,3,CIDm11749858,CIDs11749858,Abexinostat,DB12565,,"HDAC1,HDAC10,HDAC2,HDAC3,HDAC6,HDAC8"
1520,MOCETINOSTAT (MGCD0103),CHEMBL272980,HRNLUBSXIHFDHP-UHFFFAOYSA-N,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC3=NC=CC(=N3)C4=CN=CC=C4,9865515,C23H20N6O,2,CIDm09865515,CIDs09865515,MGCD0103,DB11830,D09641,"HDAC1,HDAC2,HDAC3,HDAC11"
609,SCRIPTAID,CHEMBL96051,JTDYUFSDZATMKU-UHFFFAOYSA-N,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO,5186,C18H18N2O4,0,CIDm00005186,CIDs00005186,scriptaid,,,"HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9"
1448,LAQ824 (DACINOSTAT),CHEMBL356066,BWDQBBCUWLSASG-MDZDMXLPSA-N,C1=CC=C2C(=C1)C(=CN2)CCN(CCO)CC3=CC=C(C=C3)C=CC(=O)NO,6445533,C22H25N3O3,0,CIDm00216248,CIDs06445533,NVP-LAQ824,,,"HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9"
1483,BELINOSTAT (PXD101),CHEMBL408513,NCNRHFGMJRPRSK-MDZDMXLPSA-N,C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO,6918638,C15H14N2O4S,4,CIDm06918638,CIDs06918638,belinostat,DB05015,D08870,"HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9"
34,ZOLINZA,CHEMBL98,WAEXFXRVDQXREF-UHFFFAOYSA-N,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,5311,C14H20N2O3,4,CIDm00005311,CIDs00005311,vorinostat,DB02546,D06320,"HDAC1,HDAC2,HDAC3,HDAC6,HDAC8,HDAC10,HDAC11,HDAC5,HDAC9"
563,ENTINOSTAT (MS-275),CHEMBL27759,INVTYAOGFAGBOE-UHFFFAOYSA-N,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,4261,C21H20N4O3,3,CIDm00004261,CIDs00004261,entinostat,DB11841,D09338,"HDAC1,HDAC2,HDAC3,HDAC9"
473,BUFEXAMAC,CHEMBL94394,MXJWRABVEGLYDG-UHFFFAOYSA-N,CCCCOC1=CC=C(C=C1)CC(=O)NO,2466,C12H17NO3,4,CIDm00002466,CIDs00002466,bufexamac,DB13346,D01271,"HDAC10,HDAC6"
2699,Tubacin,CHEMBL356769,BHUZLJOUHMBZQY-YXQOSMAKSA-N,C1C(OC(OC1C2=CC=C(C=C2)CO)C3=CC=C(C=C3)NC(=O)CCCCCCC(=O)NO)CSC4=NC(=C(O4)C5=CC=CC=C5)C6=CC=CC=C6,6675804,C41H43N3O7S,0,CIDm00003223,CIDs06675804,tubacin,,,HDAC6
2700,Tubastatin A,CHEMBL2018302,GOVYBPLHWIEHEJ-UHFFFAOYSA-N,CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO,49850262,C20H21N3O2,0,CIDm49850262,CIDs49850262,Tubastatin A,,,HDAC6
1185,DROXINOSTAT,CHEMBL1526649,JHSXDAWGLCZYSM-UHFFFAOYSA-N,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,568416,C11H14ClNO3,0,CIDm00568416,CIDs00568416,Droxinostat,,,"HDAC6,HDAC8"
1162,TRICHOSTATIN A (TSA),CHEMBL99,RTKIYFITIVXBLE-QEQCGCAPSA-N,CC(C=C(C)C=CC(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,444732,C17H22N2O3,0,CIDm00005562,CIDs00444732,trichostatin A,DB04297,,"HDAC7,HDAC8,HDAC1,HDAC10,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC9"
2507,1357171-62-0,CHEMBL2144958,QNRODODTMXCRKU-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC=C(C=C2)CNC3=C(N=NC(=N3)C4=CC=CC=N4)C5=CC=CC=C5,46742353,C27H21N5,0,CIDm46742353,CIDs46742353,ML228,,,HIF1A
2828,yc-1,CHEMBL333985,OQQVFCKUDYMWGV-UHFFFAOYSA-N,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)C4=CC=C(O4)CO,5712,C19H16N2O2,0,CIDm00005712,CIDs00005712,3-(5'-hydr.)-1.,,,"HIF1A,GUCY1A2,GUCY1A3,GUCY1B3"
889,MEVASTATIN,CHEMBL54440,AJLFOPYRIVGYMJ-INTXDZFKSA-N,CCC(C)C(=O)OC1CCC=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O,64715,C23H34O5,0,CIDm00002854,CIDs00064715,compactin,DB06693,C13963,HMGCR
1783,FLUVASTATIN SODIUM,CHEMBL333442,ZGGHKIMDNBDHJB-NRFPMOEYSA-M,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)[O-])O)O)C3=CC=C(C=C3)F.[Na+],23663976,C24H25FNNaO4,4,CIDm00003403,CIDs00446155,fluvastatin,,,"HMGCR,CYP2C8"
844,SIMVASTATIN,CHEMBL1064,RYMZZMVNJRMUDD-HGQWONQESA-N,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,54454,C25H38O5,4,CIDm00054454,CIDs00054454,simvastatin,DB00641,D00434,"HMGCR,CYP2C8,CYP3A4,CYP3A5,ITGB2"
840,LOVASTATIN,CHEMBL503,PCZOHLXUXFIOCF-BXMDZJJMSA-N,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,53232,C24H36O5,4,CIDm00003962,CIDs00053232,lovastatin,DB00227,D00359,"HMGCR,CYP3A5,HDAC2,ITGAL,NR1I2"
2766,pravastatin,CHEMBL1144,TUZYXOIXSAXUGO-PZAWKZKUSA-N,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O,54687,C23H36O7,4,CIDm00004889,CIDs00054687,pravastatin,DB00175,D08410,"HMGCR,SLCO1B1"
557,NOCODAZOLE,CHEMBL9514,KYRVNWMVYQXFEU-UHFFFAOYSA-N,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,4122,C14H11N3O3S,0,CIDm00004122,CIDs00004122,nocodazole,DB08313,D05197,HPGDS
1345,TRANILAST,CHEMBL415324,NZHGWWWHIYHZNX-CSKARUKUSA-N,COC1=C(C=C(C=C1)C=CC(=O)NC2=CC=CC=C2C(=O)O)OC,5282230,C18H17NO5,3,CIDm00005527,CIDs05282230,tranilast,DB07615,D02027,"HPGDS,HRH1,IDO1,IFNG,IL10,IL2,IL4,SLC22A12,TGFB1,TNF,TRPV2"
460,AZATHIOPRINE,CHEMBL1542,LMEKQMALGUDUQG-UHFFFAOYSA-N,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],2265,C9H7N7O2S,4,CIDm00002265,CIDs00002265,azathioprine,DB00993,D00238,"HPRT1,IMPDH1,PPAT"
717,DIPHENHYDRAMINE HCL,CHEMBL1620,PCHPORCSPXIHLZ-UHFFFAOYSA-N,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,8980,C17H22ClNO,4,CIDm00003100,CIDs00003100,diphenhydramine,,D00669,HRH1
720,TRIPELENNAMINE HCL,CHEMBL1200446,FSSICIQKZGUEAE-UHFFFAOYSA-N,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2.Cl,9066,C16H22ClN3,4,CIDm00005587,CIDs00005587,tripelennamine,,D02091,HRH1
766,AZACYCLONOL,CHEMBL127508,ZMISODWVFHHWNR-UHFFFAOYSA-N,C1CNCCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O,15723,C18H21NO,0,CIDm00015722,CIDs00015722,azacyclonol,,,HRH1
770,ANTAZOLINE HCL,CHEMBL1256819,SWKDMSRRIBZZAY-UHFFFAOYSA-N,C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3.Cl,17275,C17H20ClN3,4,CIDm00002200,CIDs00002200,antazoline,,D07459,HRH1
883,FEXOFENADINE HCL,CHEMBL1200618,RRJFVPUCXDGFJB-UHFFFAOYSA-N,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O.Cl,63002,C32H40ClNO4,4,CIDm00003348,CIDs00003348,fexofenadine,,D00671,HRH1
1036,DESLORATADINE,CHEMBL1172,JAUOIFJMECXRGI-UHFFFAOYSA-N,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,124087,C19H19ClN2,4,CIDm00124087,CIDs00124087,desloratadine,DB00967,D03693,HRH1
